description,num_of_ratings,rating,price_after_discount,price_before_discount,is_bestseller,product_category,discount
"Amazfit Pop 3R Smart Watch With 1.43"" (3.6 Cm) HD AMOLED Display, BT Calling And AI Voice Assistance Black",337,4.3,2350,2350,No,smart watch,0%
"Samsung Fit 3 Smartwatch Amoled Display, Accelerometer, Barometer, Gyro Sensor, Optical Heart Rate Sensor, Light Sensor Gray",3000,4.6,2082,2355,Yes,smart watch,12%
imilab W12 Smart Watch Black,317,4.2,1444,1444,No,smart watch,0%
X-Inova MX10 - Luxury Smart Watch 7 Watch Bands Multicolors- Golden Case,46,4.2,875,1500,No,smart watch,42%
T800 Ultra Smart Watch HD Touch Screen Fitness Tracker SpO2 Heart Rate Monitor Fitness Voice Assistant Power Saving Sports IP67 Waterproof,274,3.4,344,650,No,smart watch,47%
"HUAWEI WATCH FIT Special Edition Smart Watch, 1.64-inch HD AMOLED Display, Built-in GPS, Scientific Sleep Tracking, Quick Replies for Third-Party Apps, Compatible with Android & iOS Devices, Nebula Pink",477,4.5,4000,4121,No,smart watch,3%
T800 ULTRA (2023) Smart Watch 1.99 Inch IPS display NFC Bluetooth V5 Call Wireless Charger- Space Gray Aluminum Case,17,2.9,350,900,No,smart watch,61%
W&O X8 Ultra MAX Smartwatch - 49mm - Orange,55,3.9,699,699,No,smart watch,0%
Bluetooth Full Touch Call Smartwatch T500 ULTRA  With Replaceable Strap,63,2.5,299,700,No,smart watch,57%
S9 Ultra Smartwatch 49mm - Black,17,2.1,313,525.2,No,smart watch,40%
Ft80 Smart Watch  Full Touch Screen Bluetooth Call Push Notifications With Detachable Silicone Band For Ios & Android Black,177,2.1,279,444,No,smart watch,37%
W&O® Little Star X10 Ultra 3 Smartwatch - WearFIT Technology with NFC & Voice Assistant - Health Tracking & WeChat Pay-BLACK,0,0,1500,1500,No,smart watch,0%
"JOYROOM 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc Rose Gold",20,4.3,1999,2999,No,smart watch,33%
"Infinix 300 mAh Infinix XWatch 3 WE Smart Watch : IP68 Water Resistant, 1.43"" AMOLED with AOD, 7-Day Battery, 200 Stylish Watch Faces, Multiple Sports Modes,  Bluetooth Call Support, Health Monitoring & Fitness Tracking, 2 Straps| Grey",69,4.1,1990,1990,No,smart watch,0%
"HUAWEI WATCH D2  Smartwatch, 1.82"" AMOLED Touch display, Blood Pressure Monitoring, Slim Design, Bluetooth Calling, Compatible with iOS Android, 6 months HUAWEI care+ Gold",98,4.7,18200,18200,No,smart watch,0%
"JOYROOM 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc - Black/ Space Grey",3,4.7,1550,1550,No,smart watch,0%
"Xiaomi Smart Band 9 | 1.62'' AMOLED Display | Touchscreen, Multisport Tracker, Activity Tracker, Heart Rate Monitor | Upto 21 Days Battery Life Glacier Silver Glacier Silver",1200,4.7,1999,2999,No,smart watch,33%
SERIES T1000 Ultra  Smart Watch Heart Rate Monitor  Bluetooth Calls Blood Pressure Monitor Compatible with Android and iOS Black,12,2.6,375,750,No,smart watch,50%
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Black",5400,4.6,5999,7399,No,smart watch,19%
JOYROOM 300 mAh 300 mAh JR-FV1 Smart Watch Can Make And Receive Calls 1.43-Inch HD Screen Bluetooth Connection Fitness Monitoring For Men And Women Compatible With Apple And Android Metal Silicone Strap Space Grey,224,4.4,2359,3299,No,smart watch,28%
HK HK9 ULTRA 2 Max Series 9 Wearfit Pro SmartWatch 2.12 Inch Super Amoled - Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger 49mm (black),82,4.1,995,1600,No,smart watch,38%
Samsung Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Silver,1400,4.4,9345,22666,No,smart watch,59%
smart watch T900 Ultra with health fitness tracker and supports the Arabic Language,90,3,330,1399,No,smart watch,76%
W&O X9 ULTRA 2 Series 9  SmartWatch SUPER AMOLED Display  Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger Black,80,2.8,699,1900,No,smart watch,63%
في & حول X8 Ultra ساعة ذكية عالية الدقة تعمل باللمس جهاز تعقب للياقة البدنية SpO2 مراقب معدل ضربات القلب مساعد صوتي توفير الطاقة ووضع الرياضة IP67,33,2.5,375,1400,No,smart watch,73%
HK HK9 ULTRA 2 Series 9 Wearfit Pro  SmartWatch 2.12 Inch SUPER AMOLED Display 480X320 Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger 49mm (black),90,4.4,945,1400,No,smart watch,33%
Oraimo 200.0 mAh OSW 16 IPS Colour Touch Screen BT 5.0 IP68 Water Resistant Smartwatch silver,151,3.9,1499,1700,No,smart watch,12%
T900 Ultra smart watch -  black,8,2.4,299,399,No,smart watch,25%
"HUAWEI Watch GT 5 46mm Smartwatch, up to 14 Days Battery Life, All-new Running and Cycling Experience, Sharp-Edged Design Watch, Health Tracking, Compatible with iOS and Android, Blue",1100,4.6,10888,11555,No,smart watch,6%
HK Hk10 ULTRA 3 Smart Watch - 2 Straps ( silicone and Cloth ) - 49mm - Grey,55,3.5,995,1095,No,smart watch,9%
